feedback,preprocessed_answer,sentiment
"Thank you for teaching us spoken word. I loved all the things you taught us and that you told us we can do spoken word in any shape or form. Even if we didn't know what to do, you still helped us and I loved the vocal warm up and how we all had a chance to perform which made everything fair. I liked when we performed to our partners so we didn't have to perform to the whole class. The week Tyler came made spoken word double as fun because the activities were really engaging and fun. The master bike activity was one of my favourites.",thank teach us spoken word love thing taught us told us spoken word shape form even didnt know still help us love vocal warm chanc perform made everyth fair like perform partner didnt perform whole class week tyler came made spoken word doubl fun activ realli engag fun master bike activ one favourit,1
"I am writing this letter to say thank you! I learnt many things including confidence. I really wish you can teach us still. But sadly, this is the last week. Thank you so much. Even though you have dyslexia, you teach us so well. Thank you for everything!",write letter say thank learnt mani thing includ confid realli wish teach us still sadli last week thank much even though dyslexia teach us well thank everyth,1
I enjoy your speech class because it positive and looking all the codes we want is be a bit some day. I also like this because we get to better about the how I has was had we do.,enjoy speech class posit look code want bit day also like get better,1
Thank you for all your spoken word lessons. Paxton really appreciates you and Tyler. Thanks for taking the time out of your day to teach us. You will always have a place at Paxton.,thank spoken word lesson paxton realli appreci tyler thank take time day teach us alway place paxton,2
I'm writing to you because for the spoken word that is very grateful and some children is mi.,im write spoken word grate children mi,2
Thank you for. I am writing this letter to say thanks for teaching me and class spoken words.,thank write letter say thank teach class spoken word,2
"When this workshop started, you were very kind-hearted. When we started my confidence rose higher. I'm telling you your fire. Keep doing what you're doing.",workshop start kindheart start confid rose higher im tell fire keep your,1
"I would like to appreciate you and your spoken word class. I'm very thankful for it and has really made me think. I have learned to be more comfortable, confident and use spoken word. My favourite part was when we done our speech and this is because everything was so calm and graceful. I really enjoyed everything. Nothing was bad. You made writing fun. I wish you could stay longer.",would like appreci spoken word class im thank realli made think learn comfort confid use spoken word favourit part done speech everyth calm grace realli enjoy everyth noth bad made write fun wish could stay longer,1
Thank you so much for the lessons you gave! You might have some other busy work you have to do but you chose to teach year 5 and 6 (and others). Now because of the lessons I have now grown some confidence. You worked so hard to teach 20+ children.,thank much lesson gave might busi work chose teach year other lesson grown confid work hard teach children,0
I'm writing this letter to let you know how grateful I am for these great lessons you provide me with. You let us express how we feel and what we like doing or in the future who we wanna be. I also love your energy. In spoken word I've learnt that I should speak up more. It may not be my fav subject but I still kinda enjoy it.,im write letter let know grate great lesson provid let us express feel like futur wan na also love energi spoken word ive learnt speak may fav subject still kinda enjoy,1
