question,answer,preprocessed_answer,sentiment
Q2: What have you learnt from these workshops?,A: I learnt that everybody has a chance to speak.,learnt everybodi chanc speak,2
Q2: What have you learnt from these workshops?,A2: I have learnt how to express my emotions and to be confident,learnt express emot confid,2
Q2: What have you learnt from these workshops?,A2: Your voice impressions and rhymes for poems,voic impress rhyme poem,2
Q2: What have you learnt from these workshops?,A2: When I do a poem how do I have to write,poem write,2
Q2: What have you learnt from these workshops?,A2: How to be confident and to rhyme,confid rhyme,2
Q2: What have you learnt from these workshops?,A2: I have learnt that you to look at people when you__e reading,learnt look peopl your read,2
Q2: What have you learnt from these workshops?,A2: Don__ be nervous when performing,dont nervou perform,2
Q2: What have you learnt from these workshops?,A2: To always be confident,alway confid,2
Q2: What have you learnt from these workshops?,A2: I learnt to speak up,learnt speak,2
Q2: What have you learnt from these workshops?,A2: I have learnt that you have to be confident and skilled,learnt confid skill,2
Q2: What have you learnt from these workshops?,A2: I learnt to build our confidence,learnt build confid,2
Q2: What have you learnt from these workshops?,A2: You can write whatever you want,write whatev want,2
Q2: What have you learnt from these workshops?,A2: That you don__ need a voice to speak,dont need voic speak,2
Q2: What have you learnt from these workshops?,A2: I have learnt to be confident on what I had write,learnt confid write,2
Q2: What have you learnt from these workshops?,A: I have learnt that you should follow your dreams.,learnt follow dream,2
Q2: What have you learnt from these workshops?,A: Spoken words and happy things.,spoken word happi thing,2
Q2: What have you learnt from these workshops?,A: That you can do anything you want.,anyth want,2
Q2: What have you learnt from these workshops?,A: I have learnt producing for performance.,learnt produc perform,2
Q2: What have you learnt from these workshops?,A: I have learnt to never be shy even if there is lots of people in the crowd watching you.,learnt never shi even lot peopl crowd watch,2
Q2: What have you learnt from these workshops?,A: I have learnt that you can write poetry and whenever you want and write whatever you want.,learnt write poetri whenev want write whatev want,2
Q2: What have you learnt from these workshops?,A2: I learnt to be confident.,learnt confid,2
Q2: What have you learnt from these workshops?,"A2: I__e learnt how to write poems, rhymes and even rap and music. It__ amazing.",ive learnt write poem rhyme even rap music amaz,2
Q2: What have you learnt from these workshops?,A2: I have learnt about the speaches.,learnt speach,2
Q2: What have you learnt from these workshops?,A2: How to write my own spoken word.,write spoken word,2
Q2: What have you learnt from these workshops?,A2: I have learnt performing raps.,learnt perform rap,2
Q2: What have you learnt from these workshops?,A2: I have learnt that it is Write 2 Speak.,learnt write speak,2
Q2: What have you learnt from these workshops?,"A2: Rhythms, rhymes, and how to do workshops, poems.",rhythm rhyme workshop poem,2
Q2: What have you learnt from these workshops?,"A2: I__e learnt about racism, bullying, and deportation de jure.",ive learnt racism bulli deport de jure,2
Q2: What have you learnt from these workshops?,A2: I learnt confidence and that it doesn__ matter what people think.,learnt confid doesnt matter peopl think,2
Q2: What have you learnt from these workshops?,A2: I have learnt about rhyming and rapping and this is my hobby and me and my friend would like to do this on any sleep.,learnt rhyme rap hobbi friend would like sleep,2
Q2: What have you learnt from these workshops?,A2: I have learnt that you need to try your hardest in anything you come across.,learnt need tri hardest anyth come across,2
Q2: What have you learnt from these workshops?,A2: In these workshops I have learnt that we learned how to rhyme words.,workshop learnt learn rhyme word,2
Q2: What have you learnt from these workshops?,A2: That to there lots of problems.,lot problem,2
Q2: What have you learnt from these workshops?,A2: I learnt how to rhyme.,learnt rhyme,2
Q2: What have you learnt from these workshops?,A2: I have learnt to just be myself.,learnt,2
Q2: What have you learnt from these workshops?,A2: I learnt practicing my spoken word again and again.,learnt practic spoken word,2
Q2: What have you learnt from these workshops?,A2: We done poems and rhythm and rhymes that some rhythms don__ rhyme.,done poem rhythm rhyme rhythm dont rhyme,2
Q2: What have you learnt from these workshops?,A2: Voices and writing poems properly.,voic write poem properli,2
Q2: What have you learnt from these workshops?,A2: I learnt to be more confident and that everybody has a voice.,learnt confid everybodi voic,2
Q2: What have you learnt from these workshops?,A2: To be resilient.,resili,2
Q2: What have you learnt from these workshops?,A2: I have learnt to be confident.,learnt confid,2
Q2: What have you learnt from these workshops?,A2: To speak and write without being shy.,speak write without shi,2
Q2: What have you learnt from these workshops?,A2: I learned to write a spoken word.,learn write spoken word,2
Q2: What have you learnt from these workshops?,A2: How to rap speak like hero.,rap speak like hero,2
Q2: What have you learnt from these workshops?,A2: what I learnt is about being shy and performing.,learnt shi perform,2
Q2: What have you learnt from these workshops?,A2: Writing freely and as I write I flew away with my imagination.,write freeli write flew away imagin,2
Q2: What have you learnt from these workshops?,A2: How to rhyme.,rhyme,2
Q2: What have you learnt from these workshops?,A2: That you keep following your dreams.,keep follow dream,2
Q2: What have you learnt from these workshops?,A2: I learnt how to be a tiny bit more confident about my spoken words.,learnt tini bit confid spoken word,2
Q2: What have you learnt from these workshops?,A2: I have learnt about interesting stuff like really interesting stuff.,learnt interest stuff like realli interest stuff,2
Q2 What have you learnt from these workshops?,A2 I learnt to be more confident to perform,learnt confid perform,2
Q2 What have you learnt from these workshops?,"A2 I learnt that when I write poems, I am my own person.",learnt write poem person,2
Q2 What have you learnt from these workshops?,A2 How to write poems and how to be more confident.,write poem confid,2
Q2 What have you learnt from these workshops?,A2 That you can write about anything in a poem.,write anyth poem,2
Q2: What have you learnt from these workshops?,A: I learnt how to overcome stage fright.,learnt overcom stage fright,2
Q2: What have you learnt from these workshops?,A: I have learnt that I can be more confident when speaking to other pupils.,learnt confid speak pupil,2
Q2: What have you learnt from these workshops?,A: You can say only thing and do only thing.,say thing thing,2
Q2: What have you learnt from these workshops?,A: That it is beneficial to sit and think and write our thoughts and feelings down on paper.,benefici sit think write thought feel paper,2
Q2: What have you learnt from these workshops?,A: They teach to listen and to respect people.,teach listen respect peopl,2
Q2: What have you learnt from these workshops?,A: How to speak in front of groups.,speak front group,2
Q2: What have you learnt from these workshops?,A: That everyone is different in how they think.,everyon differ think,2
Q2: What have you learnt from these workshops?,A: Teamwork.,teamwork,2
Q2: What have you learnt from these workshops?,"A: To be braver, to write in different voices, to express my writing more.",braver write differ voic express write,2
Q2: What have you learnt from these workshops?,A: I learnt that spoken word can be about absolutely anything.,learnt spoken word absolut anyth,2
Q2: What have you learnt from these workshops?,A: A lot.,lot,2
Q2: What have you learnt from these workshops?,A: Attend big again.,attend big,2
Q2: What have you learnt from these workshops?,A: Something I have learnt from spoken word is that this is about you and you can express yourself.,someth learnt spoken word express,2
Q2: What have you learnt from these workshops?,A: The things I__e learnt from these workshops is how to write poetry and being more confident.,thing ive learnt workshop write poetri confid,2
Q2: What have you learnt from these workshops?,A: I have learnt to become more confident while speaking in front of an audience.,learnt becom confid speak front audienc,2
Q2: What have you learnt from these workshops?,"A: I__e learnt to have more confidence, reflectiveness, to understand.",ive learnt confid reflect understand,2
Q2: What have you learnt from these workshops?,A: I have learnt that the words that I say are very important.,learnt word say import,2
Q2: What have you learnt from these workshops?,A: I have learnt how to perform a poem to other people and a class.,learnt perform poem peopl class,2
Q2: What have you learnt from these workshops?,A: I have learnt how the platform can give dignity and that we get stage fright.,learnt platform give digniti get stage fright,2
